staging_id,investor,invested_amount,invested_equity,invested_debt
51,Peyush,10.0,5.0,
51,Ashneer Grover,10.0,5.0,
52,Namita,50.0,5.0,
52,Peyush,50.0,5.0,
52,Ashneer Grover,50.0,5.0,
54,Peyush,80.0,20.0,
57,Ashneer Grover,1.0,1.0,99.0
60,Namita,15.0,2.5,
60,Aman,15.0,2.5,
60,Peyush,15.0,2.5,
60,Ashneer Grover,15.0,2.5,
63,Peyush,40.0,3.0,25.0
65,Namita,20.0,2.0,
65,Anupam,20.0,2.0,
65,Aman,20.0,2.0,
65,Peyush,20.0,2.0,
65,Ashneer Grover,20.0,2.0,
66,Vineeta,33.33,5.0,
66,Aman,33.33,5.0,
66,Ashneer Grover,33.33,5.0,
67,Peyush,25.0,75.0,22.0
68,Vineeta,17.5,12.0,
68,Anupam,17.5,12.0,
69,Anupam,20.0,1.33,
69,Peyush,20.0,1.33,
69,Ashneer Grover,20.0,1.33,
73,Aman,50.0,10.0,50.0
77,Anupam,25.0,17.5,
77,Ghazal Alagh,25.0,17.5,
78,Peyush,10.0,40.0,20.0
80,Anupam,50.0,15.0,
81,Namita,20.0,1.2,
81,Vineeta,20.0,1.2,
81,Anupam,20.0,1.2,
81,Peyush,20.0,1.2,
81,Ghazal Alagh,20.0,1.2,
83,Peyush,50.0,50.0,
85,Namita,65.0,3.0,
87,Namita,0.0002525,1.0,
87,Anupam,0.0002525,1.0,
87,Peyush,0.0002525,1.0,
87,Ghazal Alagh,0.0002525,1.0,
89,Peyush,100.0,4.0,
90,Vineeta,33.33,5.0,
90,Peyush,33.33,5.0,
90,Ghazal Alagh,33.33,5.0,
92,Vineeta,16.66,10.0,
92,Peyush,16.66,10.0,
92,Ghazal Alagh,16.66,10.0,
93,Namita,25.0,7.0,
93,Vineeta,25.0,7.0,
93,Ghazal Alagh,25.0,7.0,
97,Namita,40.0,3.0,
97,Vineeta,40.0,3.0,
102,Aman,75.0,2.68,
106,Aman,50.0,2.0,
108,Namita,40.0,25.0,
110,Anupam,20.0,3.33,
110,Peyush,20.0,3.33,
110,Ashneer Grover,20.0,3.33,
111,Peyush,50.0,5.0,
111,Ashneer Grover,50.0,5.0,
112,Namita,10.0,5.0,
112,Vineeta,10.0,5.0,
112,"Ghazal Alagh,Ashneer Grover",20.0,10.0,
