staging_id,company,season,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,sector,business_description,company_website,started_in,founder_count,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,asked_amount,equity_asked,valuation_requested,received_offer,accepted_offer,invested_amount,equity_final,total_deal_debt,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present
241,MindPeers,Season 2,29,241,2023-01-02,2023-03-10,2023-02-09,Pulse Of The Country,Rahul Dua,Medical/Health,For Mental Strength,https://www.mindpeers.co/,,2,1.0,1.0,,0,,Delhi,Delhi,,,,,,,,0,0,0,53.0,1.0,5300.0,1,1,106.0,2.0,,5300.0,4.0,0,,,,1,1,1,1,1,0,0,0
242,Barosi,Season 2,29,242,2023-01-02,2023-03-10,2023-02-09,Pulse Of The Country,Rahul Dua,Food and Beverage,Fresh & pure milk products,https://www.barosi.in/,2016,1,1.0,,,0,,Pataudi,Haryana,,42.0,40.0,,,,,0,0,0,50.0,2.0,2500.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
243,Daryaganj,Season 2,30,243,2023-01-02,2023-03-10,2023-02-10,Changing India,Rahul Dua,Food and Beverage,North Indian Cuisine restaurant,https://daryaganj.com/,,3,3.0,,,0,,Delhi,Delhi,,300.0,,,,,,0,0,0,90.0,0.5,18000.0,1,1,90.0,1.0,,9000.0,1.0,1,,,,1,1,1,1,1,0,0,0
244,DhruvVidyut,Season 2,30,244,2023-01-02,2023-03-10,2023-02-10,Changing India,Rahul Dua,Vehicles/Electrical Vehicles,Invention converts cycle into an electric cycle,https://www.instagram.com/dhruvvidyutdv/?hl=en,,1,1.0,,,0,,Delhi,Delhi,,,,,,,,0,0,0,0.0,0.5,0.0,1,1,0.0,0.5,,0.0,3.0,1,,,,1,1,1,1,1,0,0,0
245,CELLBELL,Season 2,30,245,2023-01-02,2023-03-10,2023-02-10,Changing India,Rahul Dua,Lifestyle/Home,Gaming Office Chairs,https://cellbell.in/,2019,3,3.0,,,0,,Ulhasnagar,Maharashtra,,400.0,52.0,,,,,0,0,0,90.0,1.5,6000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
246,Tipayi,Season 2,31,246,2023-01-02,2023-03-10,2023-02-13,Innovations And Investments,Rahul Dua,Manufacturing,Balance Bike for Kids,https://www.vamshycle.com/,2019,1,1.0,,,0,,Pune,Maharashtra,21.0,0.5,35.0,26.0,,,,1,0,0,50.0,10.0,500.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
247,DigiQure,Season 2,31,247,2023-01-02,2023-03-10,2023-02-13,Innovations And Investments,Rahul Dua,Medical/Health,Book Doctors Appointments Video Consultation,https://digiqure.com/,,2,2.0,,,0,,Bhopal,Madhya Pradesh,,,,,,,,0,0,0,40.0,4.0,1000.0,1,1,40.0,10.0,,400.0,1.0,0,,,,1,1,1,1,1,0,0,0
248,Nirmalaya,Season 2,31,248,2023-01-02,2023-03-10,2023-02-13,Innovations And Investments,Rahul Dua,Manufacturing,Incense products made from temple flowers,https://nirmalaya.com/,,3,2.0,1.0,,1,,Delhi,Delhi,,80.0,,,,,,0,0,0,60.0,1.5,4000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
249,Pabiben,Season 2,32,249,2023-01-02,2023-03-10,2023-02-14,Pitch Perfect,Rahul Dua,Beauty/Fashion,Handcrafted products sold directly by artisans,https://www.pabiben.com/,,2,1.0,1.0,,0,,Ahmedabad,Gujarat,,,50.0,35.0,,,,0,0,0,50.0,5.0,1000.0,1,1,10.0,5.0,40.0,200.0,1.0,0,,,,1,1,1,1,1,0,0,0
250,Homestrap,Season 2,32,250,2023-01-02,2023-03-10,2023-02-14,Pitch Perfect,Rahul Dua,Lifestyle/Home,Collection of organizer for home and travelling,https://www.homestrap.com/,,2,1.0,1.0,,1,,Indore,Madhya Pradesh,,,55.0,,,,,0,0,0,70.0,1.0,7000.0,1,1,50.0,7.0,20.0,714.2857143,1.0,0,,,,1,1,1,1,1,0,0,0
251,uBreathe,Season 2,32,251,2023-01-02,2023-03-10,2023-02-14,Pitch Perfect,Rahul Dua,Manufacturing,Smart Natural Air Purifier,https://www.ubreathe.in/,,2,2.0,,,0,,Gurgaon,Haryana,,,,,,,,0,0,0,150.0,7.5,2000.0,1,1,50.0,5.0,100.0,1000.0,1.0,0,,,,1,1,1,1,1,0,0,0
252,Deyor,Season 2,32,252,2023-01-02,2023-03-10,2023-02-14,Pitch Perfect,Rahul Dua,Technology/Software,Chatbot integrated experiential travel website,https://www.deyorcamps.com/,,2,2.0,,,0,,Gurgaon,Haryana,,,25.0,5.0,,,,0,0,0,100.0,1.0,10000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
253,iMumz,Season 2,33,253,2023-01-02,2023-03-10,2023-02-15,Growing With India,Rahul Dua,Medical/Health,Transforming pregnancy and parenting with app,https://www.imumz.com/,2020,3,2.0,1.0,,0,,Bangalore,Karnataka,,,,,,,,0,0,0,70.0,1.0,7000.0,1,1,10.0,1.0,60.0,1000.0,1.0,0,,,,1,1,1,1,1,0,0,0
254,TheHealthyBinge,Season 2,33,254,2023-01-02,2023-03-10,2023-02-15,Growing With India,Rahul Dua,Food and Beverage,Assorted Pack Baked Chips,https://www.healthybinge.co.in/,,2,2.0,,,0,,Pune,Maharashtra,,11.0,,,,,,0,0,0,50.0,5.0,1000.0,1,1,50.0,5.0,,1000.0,2.0,0,,,,1,1,1,1,1,0,0,0
255,Freakins,Season 2,33,255,2023-01-02,2023-03-10,2023-02-15,Growing With India,Rahul Dua,Beauty/Fashion,Fashionable Denim Apparel,https://freakins.com/,,2,2.0,,,0,,Mumbai,Maharashtra,,,63.0,,,,,0,0,0,70.0,1.0,7000.0,1,1,50.0,2.5,20.0,2000.0,1.0,1,,,,1,1,1,1,1,0,0,0
256,Perfora,Season 2,34,256,2023-01-02,2023-03-10,2023-02-16,Growing Ideas Into Successful Businesses,Rahul Dua,Lifestyle/Home,Toothpaste Electric Toothbrush,https://perforacare.com/,,2,2.0,,,0,,"Ballarpur,Karnal","Haryana,Maharashtra",,,57.0,,,,,0,0,0,80.0,1.0,8000.0,1,1,80.0,2.5,,3200.0,3.0,0,,,,1,1,1,1,1,0,0,0
257,MidNightAngelsByPC,Season 2,34,257,2023-01-02,2023-03-10,2023-02-16,Growing Ideas Into Successful Businesses,Rahul Dua,Beauty/Fashion,Lounge & Travel wear,https://midnightangelsbypc.com/,2017,2,,2.0,,0,,Gurgaon,Haryana,180.0,,83.0,20.0,,,,0,0,0,75.0,6.0,1250.0,1,0,,,,,,0,,,,1,1,1,1,1,0,0,0
