deal_id,staging_id,investor,invested_amount,invested_equity,invested_debt
545,486,Aman,100,1.5,
546,488,Aman,50,5,
547,489,Vineeta,50,1.85,
548,489,Aman,50,1.85,
549,491,Aman,33.333,1.4,
550,491,Ritesh,33.333,1.4,
551,491,Azhar Iqubal,33.333,1.4,
552,493,Kunal Bahl,250,10,
553,494,Ritesh,75,1.15,25
554,495,Namita,80,4,
555,497,Ritesh,66.66,2,
556,497,"Kunal Bahl,Azhar Iqubal",133.33,4,
557,498,Ritesh,50,12.5,
558,503,Vineeta,50,1.25,50
559,505,Namita,15,10,
560,508,Namita,35,1.5,
561,508,Ritesh,35,1.5,
562,509,Aman,50,1.5,
563,511,Namita,35,0.75,
564,511,Ritesh,35,0.75,
565,512,Ritesh,100,0.8,200
566,513,Anupam,90,6.5,
567,514,Namita,20,1.333,
568,514,Aman,20,1.333,
569,514,Ritesh,20,1.333,
570,517,Vineeta,25,0.5,
571,517,Peyush,25,0.5,
572,517,Varun Dua,25,0.5,
573,518,Peyush,50,10,
574,519,Aman,33.333,2.666,
575,519,Peyush,33.333,2.666,
576,519,Varun Dua,33.333,2.666,
577,520,Aman,30,2,
578,520,Ritesh,30,2,
579,522,Anupam,50,2.27,
580,523,Namita,25,1,
581,524,Vineeta,50,4,
582,525,Anupam,50,10,
583,526,Namita,25,0.5,25
584,526,Ritesh,25,0.5,25
585,528,Aman,80,6,
586,529,Vineeta,80,4.444,
587,529,Anupam,80,4.444,
588,529,Aman,80,4.444,
589,529,Peyush,80,4.444,
590,529,Kunal Bahl,80,4.444,
591,530,Vineeta,80,2.5,
592,530,Anupam,80,2.5,
593,531,Vineeta,46.666,2,
594,531,Anupam,46.666,2,
595,531,Peyush,46.666,2,
596,532,Anupam,50,10,
597,532,Aman,50,10,
598,533,Peyush,50,1,
599,534,Aman,50,2.5,
600,535,Aman,100,10,
601,536,Aman,100,3,
602,538,Namita,75,1.75,
603,538,Aman,75,1.75,
604,539,Kunal Bahl,100,8,
605,542,Vineeta,20,2,
606,542,Anupam,20,2,
607,542,Aman,20,2,
608,542,Peyush,20,2,
609,542,Kunal Bahl,20,2,
610,543,Vineeta,25,0.625,
611,543,Peyush,25,0.625,
612,543,Kunal Bahl,125,3.13,
613,544,Namita,25,2,
614,544,Ritesh,25,2,
615,545,Anupam,50,4,
616,547,Anupam,66.666,6.666,
617,547,Aman,66.666,6.666,
618,547,Kunal Bahl,66.666,6.666,
619,548,Namita,45,0.5,
620,548,Viraj Bahl,45,0.5,
621,550,Anupam,50,10,
622,554,Ritesh,40,2,
623,555,Namita,33.333,0.5,
624,555,Anupam,33.333,0.5,
625,555,Ritesh,33.333,0.5,
626,556,Anupam,33,3.5,
627,556,Aman,33,3.5,
628,557,Vineeta,40,4,
629,557,Anupam,40,4,
630,558,Namita,10,6,
631,558,Anupam,10,6,
632,559,Vineeta,50,4.5,
633,559,Anupam,50,4.5,
634,561,Namita,2,0.8,
635,561,Vineeta,2,0.8,
636,561,Anupam,2,0.8,
637,561,Aman,2,0.8,
638,561,Peyush,2,0.8,
639,562,Anupam,15,5,10
640,562,Peyush,15,5,10
641,565,Namita,60,1,
642,567,Namita,50,2.38,
643,567,Peyush,50,2.38,
644,568,Anupam,40,20,
645,571,Vineeta,50,1.75,
646,571,Anupam,50,1.75,
647,571,Aman,50,1.75,
648,571,Peyush,50,1.75,
649,573,Anupam,33.333,1.333,
650,573,Aman,33.333,1.333,
651,573,Peyush,33.333,1.333,
652,574,Aman,50,2.5,
653,574,Kunal Bahl,50,2.5,
654,575,Vineeta,7.2,1,
655,575,Anupam,7.2,1,
656,575,Aman,7.2,1,
657,575,Peyush,7.2,1,
658,575,Kunal Bahl,7.2,1,
659,577,Ritesh,50,5,
660,578,Namita,63,0.5,
661,578,Ritesh,63,0.5,
662,580,Anupam,70,5,
663,581,Aman,100,2.5,
664,583,Anupam,50,2,
665,583,Aman,50,2,
666,584,Ritesh,100,1.6,
667,586,Ritesh,50,2.5,
668,589,Namita,16.666,2,16.666
669,589,Vineeta,16.666,2,16.666
670,589,Ritesh,16.666,2,16.666
671,590,Namita,50,0.5,
672,591,Ritesh,75,2.5,
673,592,Ritesh,50,3,50
674,594,Aman,5,2,45
675,596,Vineeta,75,2,
676,598,Aman,300,6,
677,599,Namita,50,5,
678,600,Ritesh,50,5,50
679,603,Ritesh,50,2.8,
680,605,Namita,75,0.5,
681,605,Vineeta,75,0.5,
682,607,Vineeta,50,1,50
683,610,Vineeta,37.5,0.75,
684,610,Ritesh,37.5,0.75,
685,611,Vineeta,15,1.5,
686,611,Aman,15,1.5,
687,620,Vineeta,17.5,2.5,
688,620,Aman,17.5,2.5,
689,623,Anupam,50,9,
690,623,Viraj Bahl,50,9,
691,624,Namita,100,1,200
692,629,Namita,50,2.5,
693,629,Anupam,50,2.5,
694,629,Aman,50,2.5,
695,629,Chirag Nakrani,50,2.5,
696,630,Ritesh,25,0.5,25
697,630,Chirag Nakrani,25,0.5,25
698,632,Anupam,10.65,3.5,
699,632,Aman,10.65,3.5,
700,633,Namita,40,1,40
